Name,ETH Wallet,Handle,Discord,Invited By,Link to Tweet
burtonair,0xd6d1Ef5351C3830A03b3FF83325DEffBe97317EF,mikewunyc,burtonair,Gribb,https://x.com/mikewunyc/status/1850951023856128511
Cactus44,0x079638f36deda50612924d7a940e5148fc649ef0,Cactus4477,Cactus44,terfili,https://x.com/cactus4477/status/1853760403039264856?t=8NPDsrqYLwQMdSuV0RXt0g&s=19
cadmonkey,0x98cBa78Ba705EfAA9C9D9015b5c95Ba1E2c3b2Cd,cadmonkxy,apeinacoupe,Shane Lavalette,https://x.com/cadmonkxy/status/1846939113720549595
CakeProphet,0xf74Bb54823E60604d7e961444A4bEF4Cecc67c97,CakeProphet,thecakeprophet,BojangleGuy,https://x.com/CakeProphet/status/1859648868067295497
Calderfunk,0x51132CE68A3D3e4ef6D031403E552F100A0bE86A,Calderfunk,Calderfunk,punketo,https://x.com/elcaderfunk/status/1859609619116503257?s=61&t=1Y7IZn5uvc5KuBGQ7zY1Xg
CanIBeefYourTaco,0x413d825fd9df5c6a02a9558a75287c70046fe778,pimentopacking,motherfucker42069,dojer,https://x.com/pimentopacking/status/1853955181710291139
Capo,0xe5dB01c9D588EDE7C9939753fb877Ebe296Ba529,CryptoCap97,capo97,Rodo,https://x.com/CryptoCap97/status/1856308445751701870
Carcharodon,0xA12579ABe4c3756b2F8a183BBA6c5C32bebDa494,punk6482,carcharodon.eth,DrDiamond,https://x.com/punk6482/status/1862475536498352263?t=7NldWFHVJUKh4L0W-LdxEA&s=19
Carisne,0xEbD1d69a90D46E63bA2E2e09c61f6B37A4D07c79,carisneeth,carisne,FlowLikeWater,https://x.com/carisneeth/status/1859146207588688356
cash2me,0xF5BF73e0aF4aA9F34e42314F75EfA73cF2408E83,Cashdavid5533,cassian5533,Giggand2.0,https://x.com/cashdavid5533/status/1862165280828309751?s=46
catalina,0xc53bBe7AB8198349Bd2107B8Bf0F15411Fd53dc2,catalinaarangoc,catalinaarangoc,punketo,https://x.com/catalinaarangoc/status/1864009427369459734
Cav,0x8433058e14772c81235077E744Dde09514f1BfA0,cav_dc,cavalorn,Mirror,https://x.com/cav_dc/status/1858261991510495404
CED,0xA2B44F81744c91d24be05236e4f065481D4Cbb3a,cedssim,cedssim,Bullish,https://x.com/CedsSim/status/1853807209941230053
chagozzino,0x09C52C99e701304332B5998227f07D2648e8a72c,chagozzino,chagozzino,kojadesigns,https://x.com/chagozzino/status/1862541436358393894
Charlie,0xdD20C07E58EA116d578182f27C144Def1e318050,ogallanoby,charlie8238,Jwshua,https://x.com/ogallanoby/status/1856257014357229781
cheesebiz,0xDdFd836f7c9e42055b1F6CEB005fEE4C7882f161,cheesebiz,cheesebiz,LitAndSmitten,https://x.com/cheesebiz/status/1862212034055512537?s=46
Chenzyl,0xD08786736Bde9dd87A1Bd0c0c313Fe544BCCdb71,namch3n,X8888,Roughnex,https://x.com/namch3n/status/1861786807190581281?s=46&t=EZKIFGEWC6TrqYZLip_yEA
CHEO,0xcEe8eF3a9773d2aA6429A8b6d899969099B1fd98,_xCHEOx_,_cheo_,Dpuck,https://x.com/_xCHEOx_/status/1858372422728032462?t=IGYtlZ4AHu2O0ayZwJD_uA&s=19
ChiefNoodle,0x2882898129bfB577f756350d8443265038FCe7cc,thechiefnoodle,ChiefNoodle,FerLoko,https://x.com/thechiefnoodle/status/1846988912700674363
chikin,0xE66cbDb2d99FBf9cfcE49598A0a71b0C362FD2C9,ic3s0up,chikinxyz,iiaone,https://x.com/ic3s0up/status/1858636760990760995?s=61
Chilli,0xD378455B23Ae125626f044AC14f52F2573704c41,ChrisSchutz14,chillomat.,Matahari,https://x.com/ChrisSchutz14/status/1859899776206278876
chillwave,0x96F752893C9C40611F20C962871067D0Ff235475,elelgy,.chillwave,Yuko,https://x.com/elelgy/status/1852129024581210542
Chillzone,0x01e0C7b70E0E05a06c7cC8deeb97Fa03d6a77c9C,chillzzzone,Chillzone,DappPunk,https://x.com/chillzzzone/status/1858776438997950527?s=46&t=bpa8UdqdJRvu7v7WVoMTzQ
chimpish,0xd42D71C83205e59Ba0E2dFe7981D9c62Af9b4493,17061981eth,chimpish2,MaryPat,https://x.com/17061981eth/status/1855615170120233376
chiz181,0x7d6dEC649330D49a062A5b565D7Cd73476125601,Ruslan82589406,chiz181,Denis17,https://x.com/Ruslan82589406/status/1859556206332813373
Choyna,0x20Ee31efB8e96d346CeB065b993494D136368E96,choyna_x,choyna,DrDiamond,https://x.com/choyna_x/status/1862507898447757610
Chris,0x15A0c0FbaBf38D5bA219f299B432A92BF4a6BAaB,ChrisLivermore9,chris.the.builder,Mirror,https://x.com/ChrisLivermore9/status/1858083380178415802?t=EYQiuhCJt5YY65nZhm2qNw&s=19
Chris,0x2078022bD25e467483C0a691dCEAcB5C3ADfC705,ChristianS43857,chris1984_24_67117,Bombi02,https://x.com/ChristianS43857/status/1861127822414135587?t=_b3Iq1wOe0X_tc76fzcA7g&s=19
Chris P. Bacon,0x29076261A400A9c94BA53bDD97abD89329d4707d,chrlzzyy,chris.p.bacon.,Conny,https://x.com/chrlzzyy/status/1851379147961938204
